id	nombre_corto	nombre_largo	topico
1	Farmacias	Creación de Farmacias Populares	Salud
3	Cárcel Cohecho	Cárcel Efectiva para Soborno y Cohecho	Justicia
4	Retiro AFP	Retiro Anticipado Fondo de Pensiones	Pensiones
5	Más Metro	Crear Nuevas Líneas de Metro	Ciudad
6	Agua	Desprivatización del Agua	Medio Ambiente
7	SENAME	Reforma Sename	Familia
8	Narcotráfico	Lucha contra el Narcotráfico	Seguridad
9	Termoeléctricas	Adelantar Cierre Termoeléctricas	Medio Ambiente
10	Voto Obligatorio	Voto Obligatorio	Gobierno
12	Zonas de Sacrificio	Regulación y Fiscalización de Empresas en Zonas de Sacrificio	Medio Ambiente
13	Impuesto al Carbono	Aumento de Impuesto al Carbono	Medio Ambiente
14	Subsidio Luz	Subsidio al precio de la electricidad	Economia
15	Subsidio Agua	Subsidio al precio del agua	Economia
17	Salario Profesores	Aumento Salario Profesores	Educacion
18	IVA medicamentos	Reducción IVA a los Medicamentos	Salud
19	IVA libros	Reducción IVA a los libros	Educacion
20	Notarios	Reforma o fin de sistema de Notarios	Justicia
23	Nueva Constitución	Nueva Constitución para Chile	Gobierno
24	Subsidio Vivienda	Subsidio Vivienda	Ciudad
25	Ciencia y Tecnología	Aumentar Inversión en Ciencia y Tecnología a 1% del PIB	Educacion
26	Camara Única	Reducción del Parlamento a una Camara Única	Gobierno
27	Armas de Fuego	Restricción Venta y Uso de Armas de Fuego	Seguridad
28	Protección Consumidor	Aumentar la Protección del Consumidor	Economia
29	Matrimonio Igualitario	Matrimonio Igualitario	Familia
30	Programas Intervencion	Programas de Intervención para Niños y Jóvenes de Alto Riesgo	Familia
31	Fuerzas Armadas	Reforma Fuerzas Armadas	Gobierno
32	Carcel Colusión	Cárcel efectiva para delitos de Colusión	Justicia
33	Carcel Impuestos	Cárcel efectiva para delitos tributarios (evasión de impuestos)	Justicia
34	Reducción Parlamento	Reducción Número de Parlamentarios	Gobierno
35	Impuestos a vicios	Aumentar Impuesto al Alcohol, Tabaco, y Comida Chatarra	Salud
36	Información Personal	Resguardar y Proteger Información Personal	Seguridad
37	Asamblea Constituyente	Asamblea Constituyente	Gobierno
39	Adulto Mayor	Red de Cuidado Adulto Mayor	Familia
40	Pueblos Originarios	Reivindicación y Apoyo de Pueblos Originarios	Gobierno
41	Litio Estatal	Estatización del Litio	Economia
42	Aporte Empleador a AFP	Aporte del Empleador a Fondo de Pensiones	Pensiones
43	Glaciares	Inviolabilidad de Glaciares	Medio Ambiente
44	Bicicletas	Inversión infrastructura cicloviaria	Ciudad
45	Contribuciones 	Reducción Contribuciones de Adultos Mayores Vulnerables	Pensiones
46	Transporte Tercera Edad	Transporte Público Gratuito para Ciudadanos de la Tercera Edad	Ciudad
47	Bilingue	Promover Educación Bilingue (Inglés)	Educacion
48	Ficha Médica Digital	Establecer Ficha Médica Digital Universal	Salud
50	Cuoteo Diplomático	Eliminar Cuoteo Político en Posiciones Diplomáticas	Gobierno
51	Reeleccion de Alcaldes	Limitar Reelección de Alcaldes, Parlamentarios, y Presidentes	Gobierno
53	Sistema Salud para Electos	Uso Obligatorio de Sistema de Salud Público para Funcionarios Electos	Gobierno
55	Pension Mínima	Pensión Mínima Igual o Mayor al Sueldo Mínimo	Pensiones
56	Seguro Universal	Seguro Universal de Salud	Salud
