uuid,sex,age,region
db8e438c-4b05-4684-b168-667a1236411f,Masculino,24,Biobío
8bd42737-b140-4db8-af4c-59839922129a,Masculino,27,Biobío
06656cd5-a184-4f21-b947-2b82f83625f6,Femenino,27,Biobío
3c573e0f-8f24-4202-8602-b9de2a53da73,Femenino,39,Valparaíso
7d2e034a-3270-4429-aeac-418c46bf0d7d,Masculino,43,Metropolitana de Santiago
c1b97bb6-03d2-4027-8d54-0dd64a927a6c,Femenino,39,Metropolitana de Santiago
760b7d30-a20f-4a13-bc4f-5c6e63cc1b2e,Masculino,35,Metropolitana de Santiago
bed4ab9f-1e4c-4cfd-b48d-19be0288703b,Masculino,25,Los Ríos
883528e9-0599-4d30-9f4c-1daf9cf74082,Masculino,34,Metropolitana de Santiago
72e8f9c0-db3d-4e81-b13a-4c0aa9f73b07,Masculino,32,Metropolitana de Santiago
7fd1210c-b1c0-4bdf-b190-7bfa10fe51d2,Masculino,41,Fuera de Chile
54663bd7-eb35-492f-8a87-780d4d588f31,Masculino,50,Biobío
de2c0d17-bddb-468b-be3a-2b8768d19021,Masculino,32,Valparaíso
a75c630f-f34d-49c1-9c3d-f80be57fac18,Femenino,32,Metropolitana de Santiago
a6cf9d29-f7e3-4256-8d5c-d4ef679e2a77,Femenino,37,Metropolitana de Santiago
780cd182-294d-4758-ad9e-d38783807dc4,Masculino,33,Metropolitana de Santiago
2303db04-e52b-4308-a7f3-6af4f656f27a,Masculino,27,Metropolitana de Santiago
4bc509b3-c36c-4629-b987-35694cbf5e7c,Masculino,30,Metropolitana de Santiago
4bc509b3-c36c-4629-b987-35694cbf5e7c,Masculino,30,Metropolitana de Santiago
85945e66-b43e-4872-a287-1f3f017a1c8c,Masculino,24,Biobío
a6b5cf66-12c2-4045-afe5-6e0244323228,Masculino,38,Metropolitana de Santiago
40286aed-57b5-45c8-84c2-9ae0679ed529,Masculino,38,Metropolitana de Santiago
5faea5d4-6a36-4095-b7c6-639b30f8b1fa,Femenino,32,Coquimbo
f47c433f-13e4-4b1b-bf51-e4bd4444fa30,Femenino,35,Metropolitana de Santiago
62ebf0dc-d87c-4994-b0db-293cfd03d2e8,Femenino,24,Metropolitana de Santiago
9362b218-f50a-45dd-8bd9-d95f2fed9645,Masculino,30,Metropolitana de Santiago
79c13dc4-efff-4acf-acc8-cc674bf0b5f5,Masculino,29,Metropolitana de Santiago
e7ece3b9-4f0d-4ac4-9737-952cce26fc77,Masculino,38,Metropolitana de Santiago
1ca4cf5c-14d4-453d-8ff1-2cc20cbfe2fd,Masculino,33,Metropolitana de Santiago
6e36db91-7e91-4c67-b105-31091ad9b05c,Masculino,33,Metropolitana de Santiago
6e36db91-7e91-4c67-b105-31091ad9b05c,Masculino,33,Metropolitana de Santiago
6775f361-f57a-4bf2-b325-93358fcaeb0f,Masculino,24,Metropolitana de Santiago
2a6f58e5-5a6b-4a68-a775-5bbf82f51777,Masculino,31,Metropolitana de Santiago
fc2ee481-71d9-419c-a4c5-b809d94d5390,Masculino,32,Fuera de Chile
7d1b56a9-f3fa-470d-a68f-e02c1b715872,Masculino,41,Metropolitana de Santiago
f2138c7e-e801-4b97-b3ec-f19d61f8715e,Masculino,32,Metropolitana de Santiago
6da8e694-e5a5-4422-a534-3a93ecbfcb6d,Masculino,30,Los Lagos
fab5c765-2b84-4a73-b9ab-342b8db0bb04,Masculino,38,Metropolitana de Santiago
2d39ea7f-6bb9-4e3f-b561-866dfef01722,Femenino,49,Biobío
3dfc0219-2214-4bc9-9214-1fe7ae678709,Masculino,22,Biobío
8aab2516-6a9a-4db1-91b3-916416cc132d,Femenino,38,Metropolitana de Santiago
f7f73c53-2630-4457-b1ae-2966305a0859,Masculino,41,Biobío
f817727e-71a0-4411-9c57-f5711b9fc23d,Masculino,35,Metropolitana de Santiago
366f6cef-85fb-4ed7-a889-3842bf91e4f8,Masculino,38,Metropolitana de Santiago
6d24f7d6-0609-4441-8834-4f4bf15447cc,Masculino,28,Metropolitana de Santiago
78153bd6-2c09-468e-89df-8684f1aea225,Masculino,36,Metropolitana de Santiago
f610be3d-c861-43db-88e0-24bb955c7aa8,Masculino,29,Metropolitana de Santiago
23ddba35-86e1-4544-9989-7161e4ec2ae9,Masculino,32,Biobío
5f05a829-bda6-47e0-b174-a341f26d0737,Masculino,28,Metropolitana de Santiago
52f48d86-4c8d-44e1-832f-514c0ed9a08c,Femenino,28,Biobío
6da8e694-e5a5-4422-a534-3a93ecbfcb6d,Masculino,30,Los Lagos
52f48d86-4c8d-44e1-832f-514c0ed9a08c,Femenino,28,Biobío
52f48d86-4c8d-44e1-832f-514c0ed9a08c,Femenino,28,Biobío
6da8e694-e5a5-4422-a534-3a93ecbfcb6d,Masculino,30,Los Lagos
8579ed5b-7038-4f71-81f1-d6b0c51ed45d,Masculino,29,Metropolitana de Santiago
ad85e690-82be-41a8-a8c7-f969402f3e32,Femenino,30,Coquimbo
3e4482a1-1eb9-4def-9e96-3b149c3c281d,Masculino,29,Metropolitana de Santiago
3e4482a1-1eb9-4def-9e96-3b149c3c281d,Masculino,29,Metropolitana de Santiago
3e4482a1-1eb9-4def-9e96-3b149c3c281d,Masculino,29,Metropolitana de Santiago
f96f087d-862a-4461-8f80-d78eaf7cc68b,Masculino,26,Biobío
b2bc5e8a-1fe9-4ea4-b1f2-42b117e81fb5,Femenino,27,O'Higgins
f96f087d-862a-4461-8f80-d78eaf7cc68b,Masculino,26,Biobío
3ff55dcd-98ea-44cd-a271-b16b9aad7543,Femenino,32,Biobío
3ff55dcd-98ea-44cd-a271-b16b9aad7543,Femenino,32,Biobío
1184e036-d76e-46e1-83f7-91f9aedde6df,Masculino,58,Metropolitana de Santiago
6783f97c-c1e6-4c7b-9e30-e465b00fcc9c,Masculino,36,Metropolitana de Santiago
6783f97c-c1e6-4c7b-9e30-e465b00fcc9c,Masculino,36,Metropolitana de Santiago
b5e78763-03ce-4d78-9137-942bcb4b5379,Masculino,43,Metropolitana de Santiago
161b47ab-69fe-4682-a92e-cbea6bf98329,Femenino,41,Metropolitana de Santiago
e5e51374-32c5-464e-bbfb-3c0da2c43b82,Femenino,43,Metropolitana de Santiago
e5e51374-32c5-464e-bbfb-3c0da2c43b82,Femenino,43,Metropolitana de Santiago
129caebe-3e0c-48fe-a52b-ec2cd60e2533,Masculino,46,Metropolitana de Santiago
e5e51374-32c5-464e-bbfb-3c0da2c43b82,Femenino,43,Metropolitana de Santiago
e77ee27e-319c-4f28-8f8f-e11aed27c3c9,Femenino,42,Metropolitana de Santiago
e77ee27e-319c-4f28-8f8f-e11aed27c3c9,Femenino,42,Metropolitana de Santiago
e5e51374-32c5-464e-bbfb-3c0da2c43b82,Femenino,43,Metropolitana de Santiago
647dfd7e-bd53-4007-b487-5e9f67a25362,Femenino,29,Valparaíso
86aa8263-520a-4a99-ab97-cefb8121c39f,Masculino,29,Metropolitana de Santiago
86aa8263-520a-4a99-ab97-cefb8121c39f,Masculino,29,Metropolitana de Santiago
86aa8263-520a-4a99-ab97-cefb8121c39f,Masculino,29,Metropolitana de Santiago
7f0d0ba0-ee9d-4416-9a13-f3211a99ffb3,Masculino,30,Metropolitana de Santiago
f8109a69-2430-44fb-b84a-eb7814ade4d3,Femenino,49,Metropolitana de Santiago
f8109a69-2430-44fb-b84a-eb7814ade4d3,Femenino,49,Metropolitana de Santiago
